IATA,ICAO,Airport,Location,Country,UTC,Latitudes,Longitudes,Elevation,URL,PAX,OPs,Cargo,Year
AAA,NTGA,Anaa Airport,"Anaa, Tuamotus",French Polynesia,UTC−10:00,-17.348888888888887,-145.51222222222222,10,https://en.wikipedia.org/wiki/Anaa_Airport,3797,120,14,2021
AAB,YARY,Arrabury Airport,"Arrabury, Queensland",Australia,UTC+10:00,-26.69,141.04666666666665,334,https://en.wikipedia.org/wiki/Arrabury_Airport,,,,
AAC,HEAR,El Arish International Airport,El Arish,Egypt,UTC+02:00,31.073333333333334,33.83583333333333,121,https://en.wikipedia.org/wiki/El_Arish_International_Airport,5991,,,2011
AAD,,Adado Airport,"Adado, Galguduud",Somalia,UTC+03:00,6.095833333333333,46.6375,"1,001",https://en.wikipedia.org/wiki/Adado_Airport,,,,
AAE,DABB,Rabah Bitat Airport,Annaba,Algeria,UTC+01:00,36.82916666666667,7.813888888888889,5 m,https://en.wikipedia.org/wiki/Rabah_Bitat_Airport,105229,,,2020
AAF,KAAF,Apalachicola Regional Airport,"Apalachicola, Florida",United States,UTC−05:00,29.7275,-85.0275,20,https://en.wikipedia.org/wiki/Apalachicola_Regional_Airport,,24375,,2009
AAG,SSYA,Arapoti Airport,"Arapoti, Paraná",Brazil,UTC−03:00,,,805 m,https://en.wikipedia.org/wiki/Arapoti_Airport,,,,2011
AAH,EDKA,Merzbrück Airport,"Aachen, North Rhine-Westphalia",Germany,UTC+01:00,,,623,https://en.wikipedia.org/wiki/Merzbrück_Airport,,,,
AAI,SWRA,Arraias Airport,"Arraias, Tocantins",Brazil,UTC−03:00,-13.023888888888889,-46.885555555555555,586 m,https://en.wikipedia.org/wiki/Arraias_Airport,,,,
AAJ,SMCA,Cayana Airstrip,Awaradam,Suriname,UTC−03:00,3.8986111111111112,-55.57777777777778,360,https://en.wikipedia.org/wiki/Cayana_Airstrip,,,,
AAK,NGUK,Aranuka Airport,Aranuka,Kiribati,UTC+12:00,0.18527777777777776,173.6363888888889,6,https://en.wikipedia.org/wiki/Aranuka_Airport,,,,
AAL,EKYT,Aalborg Airport,Aalborg,Denmark,UTC+01:00,57.09277777777778,9.849166666666667,10,https://en.wikipedia.org/wiki/Aalborg_Airport,"1.456.496<sup id=""cite_ref-Passagertal_1-0"" class=""reference""><a href=""#cite_note-Passagertal-1"">[1]</a></sup>",,,2015
AAM,FAMD,Mala Mala Airport,Mala Mala,South Africa,UTC+02:00,-24.818055555555556,31.544722222222223,"1,124",https://en.wikipedia.org/wiki/Mala_Mala_Airport,,,,
AAN,OMAL,Al Ain International Airport,Al Ain,United Arab Emirates,UTC+04:00,24.261666666666667,55.60916666666667,866,https://en.wikipedia.org/wiki/Al_Ain_International_Airport,,,,
AAO,SVAN,Anaco Airport,Anaco,Venezuela,UTC−04:00,9.430277777777777,-64.47083333333333,721,https://en.wikipedia.org/wiki/Anaco_Airport,,,,
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,"Samarinda, East Kalimantan",Indonesia,UTC+08:00,-0.37361111111111106,117.25555555555556,25 m,https://en.wikipedia.org/wiki/Aji_Pangeran_Tumenggung_Pranoto_International_Airport,,,,2022
AAQ,URKA,Anapa Airport,"Anapa, Krasnodar Krai",Russia,UTC+03:00,45.00208333333333,37.34730555555556,174,https://en.wikipedia.org/wiki/Anapa_Airport,1487382,,,2018
